average,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
65536,0.1326,0.073408,0.0552,0.078048,0.028256
262144,0.5636,0.11376,0.2527,0.08192,0.056768
1048576,2.2387,0.326176,1.052,0.17936,0.274272
4194304,8.9847,1.85123,7.3578,0.330656,0.925696
16777216,36.117,7.29939,30.0876,0.649824,4.13677

sample-9,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0089,0.053152,0.0034,0.080096,0.022496
16384,0.0362,0.06016,0.0141,0.08192,0.022528
65536,0.1444,0.072096,0.061,0.083936,0.028608
262144,0.5741,0.11648,0.2534,0.084896,0.055744
1048576,2.3563,0.329376,1.1953,0.194368,0.260096
4194304,8.8694,1.84182,6.5624,0.283776,0.93168
16777216,33.997,7.30285,25.4422,0.804288,3.87482

sample-10,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0078,0.0528,0.0032,0.07888,0.020576
16384,0.0331,0.061344,0.0129,0.080288,0.022528
65536,0.1305,0.07232,0.0551,0.079872,0.028256
262144,0.6287,0.114784,0.2478,0.087648,0.057248
1048576,2.2252,0.325632,2.0837,0.178208,0.258816
4194304,9.1834,1.87824,6.0777,0.359968,0.925248
16777216,36.8131,7.49946,26.9625,0.744032,4.64486

sample-11,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0076,0.0512,0.0032,0.080448,0.022368
16384,0.0334,0.06144,0.0141,0.08192,0.02224
65536,0.1319,0.073728,0.0576,0.082848,0.02864
262144,0.5855,0.116928,0.2442,0.081792,0.056928
1048576,2.2785,0.32768,1.8032,0.183424,0.259776
4194304,9.3359,1.87747,6.5118,0.442368,0.925856
16777216,34.8183,7.53187,24.8224,0.79584,4.40083

sample-12,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0078,0.051968,0.0032,0.075776,0.021888
16384,0.0329,0.059936,0.0129,0.079616,0.022272
65536,0.1315,0.072992,0.0552,0.077024,0.028256
262144,0.5692,0.114176,0.2443,0.078176,0.056192
1048576,2.1317,0.327104,1.1809,0.179456,0.259712
4194304,8.8006,1.8473,5.7534,0.57776,0.925696
16777216,36.0293,7.42762,27.1487,0.671232,4.4688

sample-13,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0076,0.051904,0.0033,0.081856,0.022048
16384,0.0327,0.06144,0.0135,0.07824,0.022528
65536,0.1396,0.073568,0.0612,0.08192,0.028416
262144,0.5649,0.116096,0.2387,0.088224,0.055776
1048576,2.211,0.32928,1.0907,0.18704,0.258592
4194304,11.2922,1.86906,6.3763,0.404704,0.925568
16777216,34.4288,7.32848,31.7556,0.796768,4.1416

sample-14,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0076,0.053184,0.0032,0.076512,0.022528
16384,0.0313,0.06144,0.0125,0.07984,0.022528
65536,0.1313,0.07344,0.0575,0.082912,0.028672
262144,0.5407,0.112768,0.254,0.085792,0.056224
1048576,2.1052,0.330048,1.0216,0.196224,0.259008
4194304,8.8184,1.85347,6.2519,0.413216,0.925696
16777216,35.3074,7.2888,27.1957,0.676064,3.90349

sample-15,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0084,0.05296,0.0033,0.078816,0.022272
16384,0.0343,0.072384,0.0134,0.079328,0.022528
65536,0.1313,0.072448,0.0577,0.07904,0.02752
262144,0.5875,0.113824,0.2506,0.08368,0.055968
1048576,2.3048,0.33856,1.2512,0.18064,0.259328
4194304,9.0352,1.8441,6.0157,0.558208,0.924384
16777216,35.2853,7.32586,25.1071,0.698688,4.00323

sample-16,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0074,0.053248,0.0031,0.07792,0.022496
16384,0.0319,0.059584,0.0125,0.07424,0.022528
65536,0.1308,0.07168,0.0692,0.079872,0.028256
262144,0.5862,0.11568,0.2429,0.146176,0.05728
1048576,2.1312,0.326336,1.3097,0.245216,0.259968
4194304,10.599,1.87242,6.4456,0.507168,0.926816
16777216,34.5705,7.50525,26.4837,0.804736,4.47238

sample-17,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0082,0.05168,0.0036,0.082752,0.021472
16384,0.0357,0.061728,0.014,0.082336,0.02272
65536,0.1613,0.072064,0.0589,0.085376,0.028288
262144,0.5833,0.11264,0.2286,0.082176,0.057216
1048576,2.1683,0.326944,1.0223,0.182112,0.260096
4194304,9.0104,1.82682,7.0215,0.31744,0.925696
16777216,34.2522,7.55818,27.0685,0.816192,4.64486

sample-18,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0077,0.0512,0.0031,0.0736,0.022528
16384,0.0319,0.061312,0.0124,0.07488,0.022528
65536,0.1288,0.072448,0.0539,0.075808,0.028448
262144,0.5496,0.11424,0.2535,0.08752,0.05728
1048576,2.0116,0.326688,0.9674,0.198752,0.259552
4194304,9.0963,1.83062,6.11,0.544992,0.925696
16777216,37.3112,7.33389,28.4396,0.730912,4.11238

sample-19,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0073,0.05264,0.0031,0.080384,0.022144
16384,0.0325,0.062688,0.0131,0.071264,0.021472
65536,0.1338,0.073504,0.0567,0.088064,0.027552
262144,0.5665,0.114592,0.3597,0.085696,0.055968
1048576,2.3048,0.326368,1.1087,0.238272,0.258976
4194304,9.0601,1.81936,6.5003,0.299008,0.924224
16777216,36.6879,7.32397,28.3757,0.919424,4.09069

sample-20,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.008,0.05296,0.0032,0.077824,0.022176
16384,0.0324,0.061312,0.0127,0.09664,0.022528
65536,0.1306,0.072288,0.0553,0.079872,0.028672
262144,0.5762,0.114496,0.2457,0.079872,0.056512
1048576,2.2475,0.32576,1.0171,0.17808,0.259424
4194304,8.4758,1.82995,6.7406,0.4672,0.925696
16777216,36.4507,7.45379,26.9424,0.784384,4.38944

sample-21,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0077,0.054912,0.0032,0.081152,0.021696
16384,0.0329,0.0608,0.0131,0.081024,0.022112
65536,0.1368,0.07344,0.0576,0.082176,0.028672
262144,0.578,0.11344,0.2645,0.083968,0.056704
1048576,2.1829,0.326464,1.1665,0.191104,0.259552
4194304,9.1175,1.85818,6.4134,0.380576,0.924352
16777216,35.3445,7.55402,25.8667,0.7352,4.64438

sample-22,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0075,0.053248,0.0031,0.076736,0.021728
16384,0.0303,0.060736,0.0126,0.080096,0.02224
65536,0.1289,0.073376,0.0539,0.077152,0.028256
262144,0.5627,0.114464,0.2386,0.08016,0.057344
1048576,2.096,0.327776,1.4531,0.178176,0.259456
4194304,8.231,1.87085,5.4244,0.418208,0.925696
16777216,35.7803,7.32208,26.7074,0.74416,4.00102

sample-23,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0077,0.051552,0.0033,0.154176,0.020512
16384,0.0319,0.061248,0.0135,0.078016,0.023744
65536,0.1342,0.072416,0.0592,0.081824,0.028288
262144,0.5363,0.114688,0.2388,0.083104,0.055904
1048576,2.3527,0.338624,1.1018,0.20928,0.258336
4194304,8.9822,1.82534,7.018,0.320864,0.927744
16777216,37.3352,7.36397,28.2728,0.658144,4.16906

sample-24,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0081,0.052992,0.0033,0.081888,0.020704
16384,0.0321,0.061632,0.0132,0.081088,0.02224
65536,0.1256,0.071744,0.0553,0.077824,0.027616
262144,0.5775,0.136288,0.2458,0.079936,0.05728
1048576,2.2888,0.33568,1.0505,0.172704,0.259552
4194304,8.8054,1.88618,7.437,0.41216,0.925312
16777216,35.6435,7.37107,27.3463,0.79952,4.11648

sample-25,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0081,0.052512,0.0034,0.079872,0.021088
16384,0.0333,0.060832,0.0135,0.081568,0.023776
65536,0.1849,0.073536,0.0581,0.087008,0.02816
262144,0.5902,0.11264,0.2696,0.088064,0.056224
1048576,2.2797,0.3256,1.1309,0.178176,0.260096
4194304,9.0975,1.83702,7.0567,0.311584,0.925408
16777216,36.512,7.28269,27.7354,0.641824,4.0521

sample-26,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0079,0.051712,0.0031,0.078752,0.022176
16384,0.0322,0.06144,0.0128,0.078848,0.022464
65536,0.1278,0.073248,0.0551,0.079808,0.034816
262144,0.5823,0.112864,0.2378,0.078944,0.056576
1048576,2.1868,0.327488,1.6202,0.176128,0.25984
4194304,8.696,1.85526,5.6169,0.437024,0.938816
16777216,37.061,7.40346,32.622,0.827392,4.31446

sample-27,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0082,0.052288,0.0033,0.077888,0.021472
16384,0.033,0.061056,0.0134,0.08864,0.02288
65536,0.133,0.072896,0.0589,0.08192,0.027392
262144,0.5749,0.114208,0.257,0.088384,0.056832
1048576,2.1341,0.33792,1.1965,0.1888,0.260096
4194304,8.8009,1.86563,6.3109,0.376832,0.925696
16777216,36.975,7.31539,27.1036,0.67728,3.96915

sample-28,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0071,0.05296,0.0031,0.080832,0.020576
16384,0.0313,0.06112,0.0125,0.073728,0.02224
65536,0.1294,0.07232,0.0539,0.075616,0.028224
262144,0.5644,0.115456,0.238,0.079488,0.057344
1048576,2.1488,0.335328,1.0679,0.1976,0.259616
4194304,8.6574,1.87056,5.4318,0.29136,0.925824
16777216,34.4098,7.51725,24.7028,0.7728,4.64451

sample-29,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0075,0.054048,0.0031,0.084896,0.021344
16384,0.0328,0.060992,0.0128,0.076384,0.02224
65536,0.1331,0.0728,0.0552,0.077376,0.027968
262144,0.5667,0.114688,0.246,0.076736,0.057216
1048576,2.1733,0.328256,0.9901,0.179456,0.260096
4194304,8.8776,1.82746,7.9166,0.352992,0.926496
16777216,36.7379,7.49043,37.6787,0.71888,4.66864

sample-30,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0076,0.053248,0.0032,0.077824,0.02192
16384,0.0322,0.060064,0.0127,0.078944,0.021408
65536,0.1321,0.073024,0.0556,0.08192,0.028672
262144,0.5419,0.11264,0.2457,0.079872,0.057344
1048576,2.1189,0.32896,1.0547,0.17776,0.259872
4194304,8.4734,1.82659,6.401,0.473088,0.925952
16777216,34.5073,7.3215,25.686,0.652704,3.97309

