average,cpu,thrust,work-efficient-hierarchical
262144,14.72,0.350624,2.2713
1048576,59.2101,0.36224,9.94557
4194304,223.635,0.851488,36.1402
16777216,841.245,5.17875,158.253

sample-16,cpu,thrust,work-efficient-hierarchical
4096,0.1602,0.055072,0.844192
16384,0.6707,0.090112,0.851872
65536,3.2151,0.088928,1.11213
262144,14.5144,0.232416,2.25485
1048576,57.6867,0.460288,9.93485
4194304,215.675,0.903808,36.0556
16777216,876.147,5.04182,159.13

sample-17,cpu,thrust,work-efficient-hierarchical
4096,0.183,0.059392,0.965024
16384,0.8169,0.09072,0.88704
65536,3.5512,0.092672,1.09158
262144,14.531,0.321536,2.29274
1048576,55.6944,0.505856,10.0476
4194304,224.11,0.889728,36.129
16777216,843.803,5.23878,172.257

sample-18,cpu,thrust,work-efficient-hierarchical
4096,0.1419,0.051136,0.819552
16384,0.7006,0.089472,0.98656
65536,3.5047,0.091008,1.09002
262144,13.577,0.389632,2.26755
1048576,52.7417,0.506304,10.0168
4194304,219.353,0.914368,36.0739
16777216,920.391,4.15309,152.326

sample-19,cpu,thrust,work-efficient-hierarchical
4096,0.1441,0.053376,0.8144
16384,0.6992,0.08816,1.01331
65536,3.3663,0.106336,1.13066
262144,15.0955,0.372736,2.41088
1048576,58.3018,0.415744,9.94714
4194304,220.155,0.891072,36.1647
16777216,840.204,4.45226,155.087

sample-20,cpu,thrust,work-efficient-hierarchical
4096,0.1448,0.053376,0.819488
16384,0.6773,0.087488,0.856608
65536,3.2434,0.086688,1.08624
262144,13.6432,0.335904,2.24899
1048576,62.3717,0.336032,10.0708
4194304,216.809,0.88912,36.045
16777216,884.866,4.97536,161.573

sample-21,cpu,thrust,work-efficient-hierarchical
4096,0.1533,0.055296,0.825888
16384,0.7316,0.09088,0.860096
65536,3.741,0.090496,1.09699
262144,14.9528,0.232864,2.27168
1048576,57.6165,0.49616,10.0086
4194304,226.759,0.992992,36.2508
16777216,854.804,4.69078,154.744

sample-22,cpu,thrust,work-efficient-hierarchical
4096,0.1459,0.055296,0.823264
16384,0.7282,0.088032,0.848256
65536,3.1564,0.090112,1.08544
262144,13.7848,0.34304,2.25485
1048576,53.9368,0.550912,9.96547
4194304,211.852,0.984544,36.017
16777216,854.064,4.43882,146.708

sample-23,cpu,thrust,work-efficient-hierarchical
4096,0.1734,0.053344,0.825344
16384,0.7311,0.089472,0.843392
65536,3.3492,0.090272,1.09114
262144,14.8327,0.228544,2.27069
1048576,54.9916,0.52224,9.99014
4194304,222.161,0.840192,35.9914
16777216,883.311,4.30406,157.282

sample-24,cpu,thrust,work-efficient-hierarchical
4096,0.148,0.055296,0.811008
16384,0.6996,0.090048,0.848
65536,3.1889,0.088416,1.08698
262144,14.7702,0.343296,2.26035
1048576,56.1561,0.528672,10.1728
4194304,210.652,0.985088,36.0641
16777216,875.55,4.29056,156.288

sample-25,cpu,thrust,work-efficient-hierarchical
4096,0.1541,0.055296,0.813056
16384,0.7178,0.092352,1.21658
65536,3.3076,0.0904,1.09277
262144,14.0621,0.201088,2.30195
1048576,56.7638,0.490464,9.95811
4194304,226.275,0.893344,35.9838
16777216,881.097,4.22912,154.157

sample-26,cpu,thrust,work-efficient-hierarchical
4096,0.1441,0.053216,0.823424
16384,0.6843,0.101856,0.853216
65536,3.1759,0.089376,1.09363
262144,13.6323,0.333824,2.27683
1048576,53.669,0.505856,9.98019
4194304,211.911,0.998624,36.0325
16777216,860.456,5.17139,169.397

sample-27,cpu,thrust,work-efficient-hierarchical
4096,0.1532,0.055136,0.812992
16384,0.7246,0.088864,0.85936
65536,3.3121,0.086464,1.08179
262144,15.7487,0.237568,2.26714
1048576,54.8591,0.432064,9.94307
4194304,217.314,0.933376,36.1135
16777216,902.553,4.12877,151.705

sample-28,cpu,thrust,work-efficient-hierarchical
4096,0.1405,0.05136,0.823104
16384,0.671,0.106496,0.853952
65536,3.19,0.088,1.08634
262144,13.5666,0.448288,2.27328
1048576,53.7434,0.567648,10.2875
4194304,212.904,0.997376,36.102
16777216,856.491,5.01146,164.696

sample-29,cpu,thrust,work-efficient-hierarchical
4096,0.1452,0.054784,0.833984
16384,0.683,0.08784,0.8536
65536,3.1694,0.08736,1.11677
262144,14.5917,0.342016,2.25075
1048576,54.4137,0.50256,9.99424
4194304,219.792,0.833536,36.1544
16777216,899.646,4.96467,159.777

sample-30,cpu,thrust,work-efficient-hierarchical
4096,0.1461,0.055648,0.812672
16384,0.6828,0.088224,0.853824
65536,3.1986,0.090112,1.09178
262144,13.7984,0.26912,2.28102
1048576,52.6646,0.531456,9.9881
4194304,211.746,1.05562,36.0446
16777216,874.098,5.268,151.75

sample-31,cpu,thrust,work-efficient-hierarchical
4096,0.1463,0.055296,0.81024
16384,0.8396,0.118976,1.00966
65536,3.2244,0.09024,1.0897
262144,14.4828,0.20992,2.34141
1048576,59.117,0.495136,9.948
4194304,209.938,0.968672,36.1614
16777216,892.742,4.07757,153.043

sample-32,cpu,thrust,work-efficient-hierarchical
4096,0.1545,0.056864,0.81472
16384,0.7203,0.090272,0.846176
65536,3.3172,0.093408,1.09296
262144,14.509,0.208896,2.31424
1048576,57.3379,0.428192,10.0195
4194304,218.464,1.19459,36.0387
16777216,854.877,4.15411,150.835

sample-33,cpu,thrust,work-efficient-hierarchical
4096,0.1454,0.055296,0.829632
16384,0.6966,0.091136,0.87456
65536,3.2226,0.089056,1.12848
262144,14.6826,0.39696,2.2937
1048576,55.1472,0.48128,9.97686
4194304,213.035,0.987072,36.1574
16777216,896.538,5.10368,160.535

sample-34,cpu,thrust,work-efficient-hierarchical
4096,0.1612,0.055296,0.864256
16384,0.7511,0.09216,0.87664
65536,3.4929,0.088256,1.09197
262144,14.9269,0.360096,2.30605
1048576,57.702,0.413696,9.94624
4194304,226.723,0.978272,36.0774
16777216,836.787,4.76806,165.044

sample-35,cpu,thrust,work-efficient-hierarchical
4096,0.1663,0.053376,0.82944
16384,0.9924,0.10448,0.8584
65536,3.2486,0.090112,1.08922
262144,14.3803,0.359136,2.46851
1048576,56.7246,0.473088,9.96147
4194304,217.388,1.0417,36.1533
16777216,894.534,4.29261,154.102

sample-36,cpu,thrust,work-efficient-hierarchical
4096,0.1458,0.054848,0.821056
